,NAME,TEAM,XPM,XPA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,FGM,FGA,LNG,XP_AV,1-19_AV,20-29_AV,30-39_AV,40-49_AV,50+_AV,TOTAL_AV
86,Jonathan Weitz,CLEM,28.0,28.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,7.0,1.0,2.0,11.0,17.0,50.0,0.5040000000000013,0.0,-2.2159999999999993,1.5359999999999996,-4.7059999999999995,0.07200000000000006,-4.809999999999998
87,Matt Quinn,UAB,38.0,39.0,0.0,0.0,5.0,7.0,4.0,8.0,2.0,3.0,0.0,0.0,11.0,18.0,48.0,-0.2980000000000018,0.0,-4.628,-7.904,0.12600000000000033,0.0,-12.704
88,Cameron Carson,MASS,27.0,28.0,0.0,0.0,4.0,4.0,5.0,7.0,2.0,5.0,0.0,4.0,11.0,20.0,49.0,-0.49599999999999866,0.0,0.7840000000000007,-2.4160000000000004,-3.789999999999999,-5.856,-11.773999999999997
89,Seth Keller,KU,40.0,42.0,0.0,0.0,7.0,7.0,2.0,3.0,2.0,4.0,0.0,0.0,11.0,14.0,44.0,-1.2439999999999998,0.0,1.3719999999999999,-1.4640000000000004,-1.8319999999999999,0.0,-3.168
90,John Cannon,USF,52.0,52.0,0.0,0.0,2.0,2.0,3.0,5.0,6.0,9.0,0.0,0.0,11.0,16.0,45.0,0.9359999999999999,0.0,0.39200000000000035,-3.4399999999999995,0.3780000000000001,0.0,-1.733999999999999
91,Elliott Nimrod,USU,39.0,41.0,0.0,0.0,3.0,3.0,6.0,7.0,2.0,3.0,0.0,0.0,11.0,13.0,45.0,-1.2620000000000005,0.0,0.588000000000001,0.5839999999999996,0.12600000000000033,0.0,0.036000000000000476
92,Colby Sessums,SHSU,27.0,28.0,0.0,0.0,3.0,3.0,5.0,5.0,1.0,3.0,2.0,3.0,11.0,14.0,53.0,-0.49599999999999866,0.0,0.588000000000001,2.5600000000000005,-2.8739999999999997,1.6080000000000005,1.3860000000000037
93,Chris Tennant,KSU,52.0,53.0,0.0,0.0,4.0,6.0,2.0,2.0,4.0,5.0,1.0,1.0,11.0,14.0,51.0,-0.045999999999999375,0.0,-4.823999999999998,1.024,2.210000000000001,1.536,-0.09999999999999654
94,Kanon Woodill,NIU,26.0,26.0,0.0,0.0,2.0,2.0,7.0,8.0,2.0,4.0,0.0,1.0,11.0,15.0,49.0,0.46799999999999997,0.0,0.39200000000000035,1.096,-1.8319999999999999,-1.464,-1.3399999999999994
95,Will Ferrin,BYU,32.0,33.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,7.0,0.0,2.0,11.0,14.0,49.0,-0.4059999999999988,0.0,0.19600000000000017,2.048,4.2940000000000005,-2.928,3.2040000000000015
96,Jesus Gomez,EMU,20.0,23.0,0.0,0.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,4.0,11.0,15.0,55.0,-2.5859999999999985,0.0,0.588000000000001,-0.4399999999999995,0.12600000000000033,0.14400000000000013,-2.1679999999999966
97,Rece Verhoff,MRSH,32.0,32.0,0.0,0.0,5.0,5.0,2.0,6.0,4.0,6.0,0.0,1.0,11.0,18.0,44.0,0.5760000000000005,0.0,0.9800000000000004,-8.928,0.25200000000000067,-1.464,-8.584
98,Alex Raynor,UK,43.0,44.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,10.0,11.0,50.0,-0.2079999999999984,0.0,0.7840000000000007,0.512,4.168,0.07200000000000006,5.328000000000002
99,Luke Pawlak,TOL,49.0,50.0,0.0,0.0,4.0,4.0,5.0,7.0,1.0,2.0,0.0,0.0,10.0,13.0,44.0,-0.10000000000000142,0.0,0.7840000000000007,-2.4160000000000004,-0.9159999999999999,0.0,-2.648000000000001
100,Dean Janikowski,WSU,44.0,44.0,0.0,0.0,1.0,1.0,5.0,5.0,2.0,5.0,2.0,4.0,10.0,15.0,55.0,0.7920000000000016,0.0,0.19600000000000017,2.5600000000000005,-3.789999999999999,0.14400000000000013,-0.09799999999999676
101,Chris Freeman,IU,29.0,30.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,1.0,2.0,10.0,14.0,50.0,-0.46000000000000085,0.0,0.588000000000001,-0.952,-1.8319999999999999,0.07200000000000006,-2.5839999999999996
102,Derek McCormick,ULM,16.0,17.0,0.0,0.0,5.0,6.0,2.0,3.0,1.0,1.0,2.0,2.0,10.0,12.0,50.0,-0.6939999999999991,0.0,-1.823999999999998,-1.4640000000000004,1.042,3.072,0.13200000000000234
