,NAME,TEAM,XPM,XPA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,FGM,FGA,LNG
70,Jonathan Kim,MSU,17,17,0,0,0,0,6,6,3,5,4,7,13,18,58
71,Chase Allen,UTSA,49,49,0,0,3,3,3,4,6,6,1,2,13,15,53
72,Alex McPherson,AUB,39,39,0,0,3,3,6,6,3,3,1,1,13,13,53
73,Atticus Sappington,ORST,49,50,0,0,3,3,5,5,5,6,0,0,13,14,48
74,Grady Gross,WASH,58,58,0,0,4,4,4,7,5,6,0,0,13,17,47
75,Colton Boomer,UCF,48,50,0,0,5,6,2,5,4,6,2,4,13,21,55
76,Jacob Barnes,LT,29,31,0,0,3,3,6,7,3,5,0,0,12,15,46
77,Mitch Jeter,SC,33,34,0,0,5,5,3,3,3,3,1,3,12,14,51
78,Quinn Maretzki,ARMY,25,25,0,0,5,5,3,4,4,5,0,0,12,14,47
79,Jack Howes,MD,42,43,0,0,3,4,5,5,4,8,0,1,12,18,48
80,Alan Anaya,BGSU,40,40,0,0,4,4,5,7,3,5,0,1,12,17,42
81,Damian Ramos,LSU,72,72,0,0,5,6,5,5,2,3,0,1,12,15,48
82,Dario Longhetto,ASU,20,20,0,0,3,3,7,8,0,2,1,3,11,16,51
83,Alex McNulty,BUFF,26,26,1,1,0,1,0,3,8,9,2,5,11,19,53
84,Camden Lewis,ORE,65,65,0,0,5,5,3,5,3,6,0,1,11,17,45
85,Ben Sauls,PITT,28,28,0,0,2,2,4,4,5,7,0,3,11,16,47
86,Jonathan Weitz,CLEM,28,28,1,1,3,4,3,3,3,7,1,2,11,17,50
87,Matt Quinn,UAB,38,39,0,0,5,7,4,8,2,3,0,0,11,18,48
88,Cameron Carson,MASS,27,28,0,0,4,4,5,7,2,5,0,4,11,20,49
89,Seth Keller,KU,40,42,0,0,7,7,2,3,2,4,0,0,11,14,44
90,John Cannon,USF,52,52,0,0,2,2,3,5,6,9,0,0,11,16,45
91,Elliott Nimrod,USU,39,41,0,0,3,3,6,7,2,3,0,0,11,13,45
92,Colby Sessums,SHSU,27,28,0,0,3,3,5,5,1,3,2,3,11,14,53
93,Chris Tennant,KSU,52,53,0,0,4,6,2,2,4,5,1,1,11,14,51
94,Kanon Woodill,NIU,26,26,0,0,2,2,7,8,2,4,0,1,11,15,49
95,Will Ferrin,BYU,32,33,0,0,1,1,4,4,6,7,0,2,11,14,49
96,Jesus Gomez,EMU,20,23,0,0,3,3,4,5,2,3,2,4,11,15,55
97,Rece Verhoff,MRSH,32,32,0,0,5,5,2,6,4,6,0,1,11,18,44
98,Alex Raynor,UK,43,44,0,0,4,4,1,1,4,4,1,2,10,11,50
99,Luke Pawlak,TOL,49,50,0,0,4,4,5,7,1,2,0,0,10,13,44
100,Dean Janikowski,WSU,44,44,0,0,1,1,5,5,2,5,2,4,10,15,55
101,Chris Freeman,IU,29,30,1,1,3,3,3,4,2,4,1,2,10,14,50
102,Derek McCormick,ULM,16,17,0,0,5,6,2,3,1,1,2,2,10,12,50
103,Zeke Rankin,MTSU,35,37,0,0,6,6,4,6,0,2,0,0,10,14,38
104,John Hoyland,WYO,37,38,0,0,1,1,7,7,0,3,2,6,10,17,56
105,Denis Lynch,USC,59,60,0,0,2,3,5,7,2,2,1,1,10,13,53
106,Kyler Halvorsen,SJSU,52,53,0,0,4,4,5,8,1,2,0,0,10,14,41
107,Brady Denaburg,SYR,36,37,0,0,1,1,6,8,3,4,0,3,10,16,46
108,Alejandro Mata,COLO,26,27,0,0,1,1,5,5,4,6,0,0,10,12,47
109,Luke Drzewiecki,UNM,37,38,1,1,4,5,3,3,2,4,0,1,10,14,47
110,Buzz Flabiano,UTEP,29,30,0,0,4,4,5,6,1,4,0,0,10,14,43
111,Liam Connor,BC,34,36,0,0,3,3,3,3,4,6,0,0,10,12,45
112,Chase Gabriel,FIU,21,23,0,0,3,3,2,4,3,4,1,1,9,12,50
113,Kade Hensley,CCU,23,23,0,0,4,4,5,7,0,1,0,0,9,12,38
114,Palmer Domschke,WMU,35,35,0,0,2,3,4,4,3,8,0,0,9,15,49
115,Tanner Gillis,MEM,44,45,0,0,3,3,1,1,5,7,0,0,9,11,48
116,Tristan Alvano,NEB,27,27,0,0,2,2,4,5,2,7,1,1,9,15,55
117,Lucas Carneiro,WKU,47,47,0,0,5,6,0,1,4,5,0,0,9,12,45
118,Kyle Cunanan,CLT,16,16,0,0,2,2,2,5,5,7,0,1,9,15,49
